behavior_id,package,disposition,confidence,rationale,procedure,waiver_refs
PKG-research-review-case,research-review-case,translate,high,Capability/Procedure slot exists; deepen methodology from source contracts,review-case-v1,
PKG-research-review-campaign,research-review-campaign,translate,high,Capability/Procedure slot exists; deepen methodology from source contracts,review-campaign-v1,
PKG-research-literature,research-literature,translate,high,Capability/Procedure slot exists; deepen methodology from source contracts,literature-scan-v1|literature-review-v1,
PKG-research-ideation,research-ideation,preserve,high,Methodology stages/validators/closures; packaging translates separately,idea-generation-v1,
PKG-research-idea-evaluation,research-idea-evaluation,preserve,high,Methodology stages/validators/closures; packaging translates separately,idea-evaluation-v1,
PKG-research-project-setup,research-project-setup,translate,high,Capability/Procedure slot exists; deepen methodology from source contracts,project-setup-v1,
PKG-research-experiment,research-experiment,translate,high,Capability/Procedure slot exists; deepen methodology from source contracts,experiment-round-v1,
PKG-research-experiment-campaign,research-experiment-campaign,translate,high,Capability/Procedure slot exists; deepen methodology from source contracts,experiment-campaign-v1,
PKG-research-computation,research-computation,translate,high,Capability/Procedure slot exists; deepen methodology from source contracts,computation-case-v1,
PKG-research-figure,research-figure,unresolved,medium,No Trellis Procedure mapping in current inventory,,WVR-UNMAPPED-research-figure
PKG-research-slides,research-slides,unresolved,medium,No Trellis Procedure mapping in current inventory,,WVR-UNMAPPED-research-slides
PKG-research-survey,research-survey,unresolved,medium,No Trellis Procedure mapping in current inventory,,WVR-UNMAPPED-research-survey
PKG-research-writing,research-writing,translate,high,Capability/Procedure slot exists; deepen methodology from source contracts,writing-case-v1,
PKG-research-theory,research-theory,translate,high,Capability/Procedure slot exists; deepen methodology from source contracts,theory-case-v1,
PKG-research-quest,research-quest,preserve,high,Read-only resume boundary must remain,quest-framing-v1,
PKG-research-quest-admin,research-quest-admin,translate,high,Write quest mutations stay root/admin owner under Trellis control plane,quest-admin-v1,
COUPLE-stages-01-04-generation,research-ideation+research-idea-evaluation,preserve,high,stages-01-04-generation,idea-generation-v1|idea-evaluation-v1,
COUPLE-stages-05-07-evaluation,research-ideation+research-idea-evaluation,preserve,high,stages-05-07-evaluation,idea-generation-v1|idea-evaluation-v1,
COUPLE-shared-pack-root-contract,research-ideation+research-idea-evaluation,translate,high,shared-pack-root-contract,idea-generation-v1|idea-evaluation-v1,
COUPLE-selected-blocked-closure,research-ideation+research-idea-evaluation,preserve,high,selected-blocked-closure,idea-generation-v1|idea-evaluation-v1,
COUPLE-select-as-canonical-mutation,research-ideation+research-idea-evaluation,translate,high,select-as-canonical-mutation,idea-generation-v1|idea-evaluation-v1,
COUPLE-method-flaw-audit,research-ideation+research-idea-evaluation,preserve,high,method-flaw-audit,idea-generation-v1|idea-evaluation-v1,
COUPLE-thin-procedure-bodies,research-ideation+research-idea-evaluation,improve,high,thin-procedure-bodies,idea-generation-v1|idea-evaluation-v1,
COUPLE-host-skill-packaging,research-ideation+research-idea-evaluation,retire,high,host-skill-packaging,idea-generation-v1|idea-evaluation-v1,
CTRL-selection-to-proposal,*evaluation-like*,translate,high,Any source selection/canonical choice becomes worker Proposal + root Decision,,
COMP-001,research-experiment-campaign->research-experiment,preserve,high,Source-frozen bounded composition edge,,
COMP-002,research-review-campaign->research-review-case,preserve,high,Source-frozen bounded composition edge,,
COMP-003,research-slides->personal-slides,preserve,high,Source-frozen bounded composition edge,,
HOST-skill-packaging,*,retire,high,Host Skill packaging is not methodology; C01-C10 retires generation,,
