package,artifact,class,mapping,status
research-review-case,REVIEW_CASE_STATUS.md,durable_runtime,procedure-artifact-contract,mapped
research-review-case,adjudicator-gates.md,durable_runtime,procedure-artifact-contract,mapped
research-review-case,artifact-manifest.json,durable_runtime,procedure-artifact-contract,mapped
research-review-case,claims-ledger.json,durable_runtime,procedure-artifact-contract,mapped
research-review-case,dimension-adversarial.md,durable_runtime,procedure-artifact-contract,mapped
research-review-case,dimension-baseline.md,durable_runtime,procedure-artifact-contract,mapped
research-review-case,dimension-citation.md,durable_runtime,procedure-artifact-contract,mapped
research-review-case,dimension-consistency.md,durable_runtime,procedure-artifact-contract,mapped
research-review-case,dimension-eval-design.md,durable_runtime,procedure-artifact-contract,mapped
research-review-case,dimension-experiment.md,durable_runtime,procedure-artifact-contract,mapped
research-review-case,dimension-ledger.md,durable_runtime,procedure-artifact-contract,mapped
research-review-case,dimension-novelty.md,durable_runtime,procedure-artifact-contract,mapped
research-review-case,dimension-presentation.md,durable_runtime,procedure-artifact-contract,mapped
research-review-case,dimension-proof.md,durable_runtime,procedure-artifact-contract,mapped
research-review-case,dimension-style-impressions.md,durable_runtime,procedure-artifact-contract,mapped
research-review-case,finding-contract.md,durable_runtime,procedure-artifact-contract,mapped
research-review-case,findings/,durable_runtime,procedure-artifact-contract,mapped
research-review-case,findings/<dimension>.findings.json,durable_runtime,procedure-artifact-contract,mapped
research-review-case,hack-pattern-taxonomy.md,durable_runtime,procedure-artifact-contract,mapped
research-review-case,observability-and-independence.md,durable_runtime,procedure-artifact-contract,mapped
research-review-case,pattern-routing.md,durable_runtime,procedure-artifact-contract,mapped
research-review-case,review-case.yaml,durable_runtime,procedure-artifact-contract,mapped
research-review-case,references/adjudicator-gates.md,methodology_support,digest-bound-support-or-instruction,mapped
research-review-case,references/campaign-case-contract.md,methodology_support,digest-bound-support-or-instruction,mapped
research-review-case,references/dimension-adversarial.md,methodology_support,digest-bound-support-or-instruction,mapped
research-review-case,references/dimension-baseline.md,methodology_support,digest-bound-support-or-instruction,mapped
research-review-case,references/dimension-citation.md,methodology_support,digest-bound-support-or-instruction,mapped
research-review-case,references/dimension-consistency.md,methodology_support,digest-bound-support-or-instruction,mapped
research-review-case,references/dimension-eval-design.md,methodology_support,digest-bound-support-or-instruction,mapped
research-review-case,references/dimension-experiment.md,methodology_support,digest-bound-support-or-instruction,mapped
research-review-case,references/dimension-ledger.md,methodology_support,digest-bound-support-or-instruction,mapped
research-review-case,references/dimension-novelty.md,methodology_support,digest-bound-support-or-instruction,mapped
research-review-case,references/dimension-presentation.md,methodology_support,digest-bound-support-or-instruction,mapped
research-review-case,references/dimension-proof.md,methodology_support,digest-bound-support-or-instruction,mapped
research-review-case,references/dimension-style-impressions.md,methodology_support,digest-bound-support-or-instruction,mapped
research-review-case,references/finding-contract.md,methodology_support,digest-bound-support-or-instruction,mapped
research-review-case,references/hack-pattern-taxonomy.md,methodology_support,digest-bound-support-or-instruction,mapped
research-review-case,references/observability-and-independence.md,methodology_support,digest-bound-support-or-instruction,mapped
research-review-case,references/pattern-routing.md,methodology_support,digest-bound-support-or-instruction,mapped
research-review-case,references/session-routing.md,methodology_support,digest-bound-support-or-instruction,mapped
research-review-campaign,CAMPAIGN_CLOSURE.md,durable_runtime,procedure-artifact-contract,mapped
research-review-campaign,review-campaign.yaml,durable_runtime,procedure-artifact-contract,mapped
research-review-campaign,review-case.yaml,durable_runtime,procedure-artifact-contract,mapped
research-review-campaign,../research-review-case/references/campaign-case-contract.md,methodology_support,digest-bound-support-or-instruction,mapped
research-review-campaign,references/campaign-contract.md,methodology_support,digest-bound-support-or-instruction,mapped
research-literature,00_scout_packet.md,durable_runtime,procedure-artifact-contract,mapped
research-literature,01_search_contract.md,durable_runtime,procedure-artifact-contract,mapped
research-literature,citation-support-grading.md,durable_runtime,procedure-artifact-contract,mapped
research-literature,citation_edges.csv,durable_runtime,procedure-artifact-contract,mapped
research-literature,citation_importance.md,durable_runtime,procedure-artifact-contract,mapped
research-literature,citation_nodes.csv,durable_runtime,procedure-artifact-contract,mapped
research-literature,citation_shortlist.md,durable_runtime,procedure-artifact-contract,mapped
research-literature,claim_evidence_map.md,durable_runtime,procedure-artifact-contract,mapped
research-literature,closest_prior_work.md,durable_runtime,procedure-artifact-contract,mapped
research-literature,evidence/00_scout_packet.md,durable_runtime,procedure-artifact-contract,mapped
research-literature,evidence/01_search_contract.md,durable_runtime,procedure-artifact-contract,mapped
research-literature,evidence/MANIFEST.md,durable_runtime,procedure-artifact-contract,mapped
research-literature,evidence/citation_edges.csv,durable_runtime,procedure-artifact-contract,mapped
research-literature,evidence/citation_importance.md,durable_runtime,procedure-artifact-contract,mapped
research-literature,evidence/citation_nodes.csv,durable_runtime,procedure-artifact-contract,mapped
research-literature,evidence/citation_shortlist.md,durable_runtime,procedure-artifact-contract,mapped
research-literature,evidence/claim_evidence_map.md,durable_runtime,procedure-artifact-contract,mapped
research-literature,evidence/closest_prior_work.md,durable_runtime,procedure-artifact-contract,mapped
research-literature,evidence/literature_map.md,durable_runtime,procedure-artifact-contract,mapped
research-literature,evidence/notebooklm_handoff.md,durable_runtime,procedure-artifact-contract,mapped
research-literature,evidence/paper_pool.csv,durable_runtime,procedure-artifact-contract,mapped
research-literature,evidence/paper_topic_relationships.md,durable_runtime,procedure-artifact-contract,mapped
research-literature,evidence/pdf_archive_manifest.md,durable_runtime,procedure-artifact-contract,mapped
research-literature,evidence/reading_notes/<paper-id>.md,durable_runtime,procedure-artifact-contract,mapped
research-literature,evidence/search_log.csv,durable_runtime,procedure-artifact-contract,mapped
research-literature,evidence/sources.md,durable_runtime,procedure-artifact-contract,mapped
research-literature,evidence/zotero_import_plan.md,durable_runtime,procedure-artifact-contract,mapped
research-literature,literature_map.md,durable_runtime,procedure-artifact-contract,mapped
research-literature,notebooklm_handoff.md,durable_runtime,procedure-artifact-contract,mapped
research-literature,paper_pool.csv,durable_runtime,procedure-artifact-contract,mapped
research-literature,paper_topic_relationships.md,durable_runtime,procedure-artifact-contract,mapped
research-literature,pdf_archive_manifest.md,durable_runtime,procedure-artifact-contract,mapped
research-literature,reading_notes/<paper-id>.md,durable_runtime,procedure-artifact-contract,mapped
research-literature,reports/index.html,durable_runtime,procedure-artifact-contract,mapped
research-literature,research-quest.yaml,durable_runtime,procedure-artifact-contract,mapped
research-literature,references/citation-network.md,methodology_support,digest-bound-support-or-instruction,mapped
research-literature,references/citation-support-grading.md,methodology_support,digest-bound-support-or-instruction,mapped
research-literature,references/html-report.md,methodology_support,digest-bound-support-or-instruction,mapped
research-literature,references/notebooklm-handoff.md,methodology_support,digest-bound-support-or-instruction,mapped
research-literature,references/output-schemas.md,methodology_support,digest-bound-support-or-instruction,mapped
research-literature,references/source-anchored-reading.md,methodology_support,digest-bound-support-or-instruction,mapped
research-literature,references/source-routing.md,methodology_support,digest-bound-support-or-instruction,mapped
research-literature,references/stage-00-scout.md,methodology_support,digest-bound-support-or-instruction,mapped
research-literature,references/stage-01-search-contract.md,methodology_support,digest-bound-support-or-instruction,mapped
research-literature,references/stage-02-discover.md,methodology_support,digest-bound-support-or-instruction,mapped
research-literature,references/stage-03-triage.md,methodology_support,digest-bound-support-or-instruction,mapped
research-literature,references/stage-04-read-and-extract.md,methodology_support,digest-bound-support-or-instruction,mapped
research-literature,references/stage-05-prior-map.md,methodology_support,digest-bound-support-or-instruction,mapped
research-literature,references/stage-06-output-pack.md,methodology_support,digest-bound-support-or-instruction,mapped
research-literature,references/zotero-handoff.md,methodology_support,digest-bound-support-or-instruction,mapped
research-ideation,01_objective_contract.md,durable_runtime,procedure-artifact-contract,mapped
research-ideation,02_prior_map.md,durable_runtime,procedure-artifact-contract,mapped
