source	disposition	path	reason
upstream-only	accept-upstream	.github/workflows/ci.yml	no active Research boundary match; verify during semantic review
overlap	synthesize	.github/workflows/publish.yml	combine upstream contract or safety change with reduced Research surface
overlap	accept-upstream	.gitignore	no active Research boundary match; verify during semantic review
upstream-addition	preserve-research	.pi/prompts/trellis-start.md	retired host/template surface must remain absent from source and tarball
upstream-only	accept-upstream	.trellis/scripts/add_session.py	no active Research boundary match; verify during semantic review
overlap	synthesize	.trellis/scripts/common/active_task.py	combine upstream fix with Research authority and distribution contract
overlap	synthesize	.trellis/scripts/common/cli_adapter.py	combine upstream contract or safety change with reduced Research surface
upstream-only	accept-upstream	.trellis/scripts/common/config.py	no active Research boundary match; verify during semantic review
upstream-only	accept-upstream	.trellis/scripts/common/git.py	no active Research boundary match; verify during semantic review
upstream-only	accept-upstream	.trellis/scripts/common/paths.py	no active Research boundary match; verify during semantic review
upstream-only	accept-upstream	.trellis/scripts/common/session_context.py	no active Research boundary match; verify during semantic review
upstream-only	accept-upstream	.trellis/scripts/common/task_context.py	no active Research boundary match; verify during semantic review
overlap	synthesize	.trellis/scripts/common/task_store.py	combine upstream fix with Research authority and distribution contract
upstream-only	accept-upstream	.trellis/scripts/common/task_utils.py	no active Research boundary match; verify during semantic review
upstream-only	accept-upstream	.trellis/scripts/common/trellis_config.py	no active Research boundary match; verify during semantic review
overlap	synthesize	.trellis/scripts/common/workflow_phase.py	combine upstream fix with Research authority and distribution contract
upstream-only	accept-upstream	.trellis/scripts/task.py	no active Research boundary match; verify during semantic review
overlap	preserve-research	.trellis/spec/cli/backend/commands-channel.md	Research fork must not document retired command as active
upstream-addition	preserve-research	.trellis/spec/cli/backend/commands-platforms.md	Research fork must not document retired command as active
overlap	synthesize	.trellis/spec/cli/backend/commands-uninstall.md	combine upstream contract or safety change with reduced Research surface
overlap	synthesize	.trellis/spec/cli/backend/commands-update.md	combine upstream contract or safety change with reduced Research surface
overlap	preserve-research	.trellis/spec/cli/backend/commands-workflow.md	Research fork must not document retired command as active
overlap	synthesize	.trellis/spec/cli/backend/configurator-shared.md	combine upstream contract or safety change with reduced Research surface
overlap	synthesize	.trellis/spec/cli/backend/directory-structure.md	combine upstream contract or safety change with reduced Research surface
overlap	synthesize	.trellis/spec/cli/backend/filesystem-safety.md	combine upstream contract or safety change with reduced Research surface
overlap	synthesize	.trellis/spec/cli/backend/index.md	combine upstream contract or safety change with reduced Research surface
overlap	synthesize	.trellis/spec/cli/backend/platform-integration.md	combine upstream contract or safety change with reduced Research surface
overlap	synthesize	.trellis/spec/cli/backend/quality-guidelines.md	combine upstream contract or safety change with reduced Research surface
overlap	synthesize	.trellis/spec/cli/backend/release-process.md	combine upstream contract or safety change with reduced Research surface
overlap	synthesize	.trellis/spec/cli/backend/script-conventions.md	combine upstream contract or safety change with reduced Research surface
overlap	synthesize	.trellis/spec/cli/backend/trellis-core-sdk.md	combine upstream contract or safety change with reduced Research surface
overlap	synthesize	.trellis/spec/cli/backend/workflow-state-contract.md	combine upstream contract or safety change with reduced Research surface
overlap	synthesize	.trellis/spec/cli/unit-test/conventions.md	combine upstream contract or safety change with reduced Research surface
overlap	synthesize	.trellis/spec/cli/unit-test/index.md	combine upstream contract or safety change with reduced Research surface
upstream-only	synthesize	.trellis/spec/guides/code-reuse-thinking-guide.md	combine upstream contract or safety change with reduced Research surface
upstream-only	synthesize	.trellis/spec/guides/cross-platform-thinking-guide.md	combine upstream contract or safety change with reduced Research surface
overlap	synthesize	.trellis/workflow.md	combine upstream contract or safety change with reduced Research surface
upstream-only	preserve-research	docs-site	I3 authenticated installed-package subject requires frozen protected gitlink be7684f2086abb9b8e24d4d35733a7dda3123a0f
upstream-only	preserve-research	marketplace	I3 authenticated installed-package subject requires frozen protected gitlink d7a18bb5411c700237d21483d6889ac296ef0301
overlap	synthesize	packages/cli/package.json	combine upstream fix with Research authority and distribution contract
upstream-only	synthesize	packages/cli/scripts/copy-templates.js	combine upstream fix with Research authority and distribution contract
upstream-only	accept-upstream	packages/cli/scripts/release.js	no active Research boundary match; verify during semantic review
overlap	preserve-research	packages/cli/src/cli/index.ts	exact five-command/two-host/reduced-template boundary
overlap	preserve-research	packages/cli/src/commands/channel/adapters/claude.ts	retired generic CLI/test surface must remain absent
overlap	preserve-research	packages/cli/src/commands/channel/adapters/codex.ts	retired generic CLI/test surface must remain absent
overlap	preserve-research	packages/cli/src/commands/channel/adapters/index.ts	retired generic CLI/test surface must remain absent
overlap	preserve-research	packages/cli/src/commands/channel/agent-loader.ts	retired generic CLI/test surface must remain absent
overlap	preserve-research	packages/cli/src/commands/channel/context-loader.ts	retired generic CLI/test surface must remain absent
upstream-addition	preserve-research	packages/cli/src/commands/channel/context-trust.ts	retired generic CLI/test surface must remain absent
overlap	preserve-research	packages/cli/src/commands/channel/index.ts	retired generic CLI/test surface must remain absent
overlap	preserve-research	packages/cli/src/commands/channel/kill.ts	retired generic CLI/test surface must remain absent
overlap	preserve-research	packages/cli/src/commands/channel/spawn.ts	retired generic CLI/test surface must remain absent
